model,ad_title,year,km,color,price,ad_date,location,city
                        1.4 TDi Comfortline,    2016 VW.POLO COMFORT 1.4 TDİ DSG 7 OTOMATİK DOĞUŞ BAKIM BOYASIZ,2016,119000.0,                    Beyaz,101900.0,2019-12-27,                        AnkaraAkyurt,Ankara
                        1.4 TDi Comfortline,    SAHİBİNDEN TEMİZ SERVİS BAKIMLI POLO 1.4 TDI COMFORTLINE DSG,2016,106000.0,                    Beyaz,105000.0,2019-12-27,                        AnkaraKeçiören,Ankara
                        1.6 TDi Comfortline,    TEMİZ DÜŞÜK KM POLO 1.6 TDI COMFORTLINE,2011,107000.0,                    Beyaz,67500.0,2019-12-27,                        İstanbulAvcılar,İstanbul
                        1.6 Comfortline Classic,    kırmızı poloma çok iyi bakacak yeni sahip arıyoruz,2000,112832.00000000001,                    Kırmızı,36000.0,2019-12-27,                        İstanbulBeylikdüzü,İstanbul
                        1.4 Comfortline,    2012 VW POLO 1.4 COMFORTLİNE,2012,91000.0,                    Beyaz,81250.0,2019-12-27,                        NevşehirMerkez,Nevşehir
                        1.4 TSI GTi,    91 BİN KM STOK MOTOR CTH GTİ,2012,91000.0,                    Beyaz,92500.0,2019-12-27,                        İstanbulBeyoğlu,İstanbul
                        1.2 Trendline,    MEMURDAN TEMİZ BOL EKSTRALI 99 BİN DE POLO,2012,99000.0,                    Siyah,62500.0,2019-12-27,                        HatayAntakya,Hatay
                        1.2 TDi Trendline,    eğitimciden temiz polo. otomatik ile takas olur,2013,90000.0,                    Beyaz,67000.0,2019-12-27,                        İstanbulBüyükçekmece,İstanbul
                        1.4 Comfortline,    İNCAR GROUP OTOSHOPS BAYİDEN 2014 Polo 1.4 Comfortline HATASIZ,2014,118447.0,                    Füme,78850.0,2019-12-28,                        KayseriMelikgazi,Kayseri
                        1.4 TDi Comfortline,    *12.900 TL PEŞİNATLA* OTOMATİK* 2016 POLO 1.4 TDI COMFORTLINE,2016,97000.0,                    Beyaz,86900.0,2019-12-28,                        İstanbulAtaşehir,İstanbul
                        1.4 TDi Comfortline,    KOÇ OTO'DAN 2016-VW POLO -1.4 COMFORTLINE- OTOMATİK-115.000KM/H,2016,115000.0,                    Beyaz,95000.0,2019-12-28,                        İstanbulBağcılar,İstanbul
                        1.4 TDi Trendline,    2.SAHİBİNDEN ACİLL SATILIK POLO,2015,112500.0,                    Beyaz,63500.0,2019-12-28,                        İstanbulTuzla,İstanbul
                        1.4 Trendline,    93.000km HATASIZ 76 favoriye tesekkurler arac degerine satılcak,2005,93000.0,                    Gümüş Gri,68000.0,2019-12-28,                        AnkaraSincan,Ankara
                        1.4 TDi Comfortline,    İLK SAHİBİNDEN TEMİZ Polo,2014,113000.0,                    Kırmızı,86000.0,2019-12-28,                        HatayBelen,Hatay
                        1.0 Trendline,    ARACIMIZIN KAPORASI ALINMIŞTIR İLGİNİZE TEŞEKKÜRLER...,2016,115000.0,                    Beyaz,64500.0,2019-12-28,                        İstanbulBağcılar,İstanbul
                        1.4 Chrome Edition,    VOLKSWAGEN POLO 1.4 CHROME EDİTİON HATASIZ 89.000 KM EMRE DEN,2013,89000.0,                    Beyaz,88500.0,2019-12-28,                        ElazığMerkez,Elazığ
